,ECG_Rate_Mean,HRV_RMSSD,HRV_MeanNN,HRV_SDNN,HRV_SDSD,HRV_CVNN,HRV_CVSD,HRV_MedianNN,HRV_MadNN,HRV_MCVNN,HRV_IQRNN,HRV_pNN50,HRV_pNN20,HRV_TINN,HRV_HTI,HRV_LF,HRV_HF,HRV_VHF,HRV_LFHF,HRV_LFn,HRV_HFn,HRV_LnHF,HRV_SD1,HRV_SD2,HRV_SD1SD2,HRV_S,HRV_CSI,HRV_CVI,HRV_CSI_Modified,HRV_PIP,HRV_IALS,HRV_PSS,HRV_PAS,HRV_GI,HRV_SI,HRV_AI,HRV_PI,HRV_C1d,HRV_C1a,HRV_SD1d,HRV_SD1a,HRV_C2d,HRV_C2a,HRV_SD2d,HRV_SD2a,HRV_Cd,HRV_Ca,HRV_SDNNd,HRV_SDNNa,HRV_ApEn,HRV_SampEn,max GSR,min GSR,mean GSR,number of peaks,number of peaks SCIPY,number of valleys,mean time between peaks,median time between peaks,mean height of peaks,median height of peaks,variance height of peaks,ratio of peaks,ratio of valleys,labels
0,0.51568813,0.12736409,0.313733298,0.264930965,0.127198308,0.311085971,0.150416616,0.312218891,0.083791209,0.122557447,0.07270195,0.336199557,0.472792396,0.225112822,0.803325266,0.298199394,0.03605439,0.036958909,0.146255253,0.812555593,0.170622511,0.496936088,0.127198308,0.3234392,0.241243313,0.055065852,0.194775025,0.53710151,0.303941657,0.694006876,0.65148284,0.817084689,0.324152543,0.725682122,0.734078259,0.725869432,0.30144459,0.450459344,0.549540656,0.109996113,0.155148169,0.654084019,0.345915981,0.323052541,0.276728845,0.635042808,0.364957192,0.280825503,0.247325027,0.533166293,0.12410664,0.067750877,0.059408044,0.062865415,0.268002166,0.236809816,0.258366801,0.492334899,0.378067099,0.014277298,0.00811551,0.000610904,0.10671491,0.104536489,0
1,0.467098081,0.043952831,0.355906984,0.102285256,0.044035497,0.118364966,0.050788638,0.343703148,0.067307692,0.095073911,0.068523677,0.299532035,0.520438054,0.075126095,0.511010558,0.277252347,0.020028532,0.003975214,0.241106888,0.896790185,0.101514815,0.4115994,0.044035497,0.126800642,0.219017584,0.011469315,0.215218582,0.304319437,0.144760319,0.652339792,0.641101261,0.833540347,0.12878788,0.598712524,0.641560422,0.553622866,0.29973846,0.321550449,0.678449551,0.03252765,0.06232416,0.645306997,0.354693003,0.129675781,0.105734436,0.61618966,0.38381034,0.109945694,0.094781862,0.505026919,0.221545099,0.172199495,0.089017294,0.138215378,0.41959935,0.445398773,0.485943775,0.265216016,0.176208753,0.121209695,0.074224189,0.026754282,0.324906411,0.370808679,0
2,0.441127896,0.122873039,0.378374098,0.217923354,0.123035662,0.241491653,0.136518685,0.38155922,0.123626374,0.162664093,0.115877437,0.379860902,0.543856963,0.180514999,0.398190045,0.483728713,0.041581281,0.012451212,0.207563231,0.876347806,0.120318577,0.517985104,0.123035662,0.254804903,0.298746062,0.043926329,0.152920611,0.502048194,0.200705536,0.508821181,0.487902279,0.632126654,0.096590908,0.391059851,0.480905294,0.301715038,0.220699518,0.375951726,0.624048274,0.098971036,0.158996547,0.898909043,0.101090957,0.298204126,0.165640894,0.831144977,0.168855023,0.258623046,0.162454243,0.538166166,0.24339813,0.091803224,0.021745066,0.082112215,0.415268002,0.504294479,0.550200803,0.161593685,0.124955549,0.090752922,0.112091474,0.005827368,0.429851354,0.556213018,0
3,0.361427995,0.089763864,0.461466529,0.180646815,0.089872607,0.185228591,0.092143726,0.435532234,0.093406593,0.114789996,0.081337047,0.440583559,0.731747773,0.185293337,0.637841461,0.278233324,0.0284206,0.007536181,0.172484285,0.850013832,0.146679354,0.462091252,0.089872607,0.220836042,0.25029638,0.030208278,0.187228617,0.444798464,0.207192192,0.746041519,0.741288231,0.928915056,0.0,0.693008323,0.705011222,0.685628051,0.235663027,0.536984244,0.463015756,0.084683339,0.102086818,1.0,0.0,0.275014428,0.119118445,0.952297665,0.047702335,0.237107831,0.113487798,0.719896136,0.256862351,0.190455586,0.05517546,0.132214303,0.519220357,0.509202454,0.555555556,0.387619505,0.305316612,0.185292833,0.130971084,0.05028049,0.354666917,0.376725838,1
4,0.410925704,0.029662327,0.409727269,0.093274141,0.029630508,0.101567604,0.03207961,0.388305847,0.074175824,0.097520444,0.06908078,0.264417347,0.484722943,0.082293602,0.59931665,0.039841462,0.010257451,0.000707456,0.066988387,0.665825881,0.333617997,0.318729756,0.029630508,0.117863326,0.171262044,0.008337278,0.27121983,0.261760108,0.170022344,0.795084328,0.760941298,0.893960064,0.288135593,0.695641125,0.709434399,0.68546863,0.362543193,0.542243716,0.457756284,0.030192698,0.033623567,0.60060211,0.39939789,0.116091647,0.102719273,0.596161173,0.403838827,0.098531325,0.087783976,0.843118888,0.351366391,0.055399855,0.045408651,0.050567181,0.179209529,0.371779141,0.40562249,0.38428176,0.238165381,0.012074155,0.004326311,0.000573661,0.071472205,0.16469428,0
5,0.495378704,0.046397454,0.330394867,0.161617493,0.046328608,0.18918413,0.055250192,0.325337331,0.14010989,0.196818569,0.12367688,0.323559437,0.576361832,0.151314043,0.645999807,0.126903837,0.010531027,0.006662274,0.201389597,0.86900432,0.123892109,0.322263948,0.046328608,0.204272055,0.141377645,0.017294328,0.318373395,0.362188452,0.30756277,0.342225847,0.328570056,0.631430709,0.166666668,0.576797273,0.625859764,0.524764473,0.514625585,0.483230051,0.516769949,0.042625862,0.056089932,0.735475478,0.264524522,0.218858457,0.159036188,0.719667128,0.280332872,0.184223221,0.136716818,0.803741842,0.26798666,0.078496003,0.063801577,0.070047849,0.127233351,0.390184049,0.425702811,0.248269643,0.213369548,0.041378892,0.018098942,0.003821291,0.053772536,0.181656805,1
6,0.548921706,0.041880633,0.284814395,0.174991578,0.041810143,0.214242404,0.053124935,0.28185907,0.208791209,0.304503771,0.198885794,0.338290926,0.542630078,0.100345102,0.635885123,0.05971423,0.005267665,0.001214649,0.176028118,0.854051533,0.14379539,0.233772705,0.041810143,0.22267578,0.114862243,0.017350243,0.372117846,0.362654686,0.380843607,0.531288538,0.505654999,0.712600659,0.074561403,0.573899913,0.619838092,0.527350345,0.380310279,0.426243456,0.573756544,0.036030812,0.053935717,0.594130732,0.405869268,0.214329104,0.198663978,0.584265643,0.415734357,0.179577443,0.168908533,0.678400702,0.216741193,0.142987504,0.059549893,0.116164778,0.410936654,0.357055215,0.389558233,0.493997915,0.303331657,0.101230241,0.092619298,0.012547715,0.174537537,0.167061144,1
7,0.643067113,0.018514063,0.211990702,0.186126581,0.01853367,0.245612853,0.028972653,0.179910045,0.258241758,0.419525844,0.215041783,0.17247746,0.324645479,0.103796124,0.655842427,0.025407353,0.000229947,0.000370961,0.336230075,0.932208974,0.066167999,0.022361507,0.01853367,0.239271925,0.04318045,0.011759289,0.63020009,0.307746928,0.658309066,0.360312327,0.363197,0.648079472,0.163461539,0.632881276,0.667011188,0.596724367,0.457225882,0.47992931,0.52007069,0.018212224,0.023522098,0.672712524,0.327287476,0.243955492,0.199711942,0.664007781,0.335992219,0.202065829,0.166911096,0.493135448,0.107936865,0.090004476,0.058931463,0.080023875,0.395776936,0.696932515,0.819277108,0.373733707,0.265608331,0.042379731,0.020548543,0.005085141,0.257553686,0.526627219,1
8,0.460276499,0.152803406,0.364858494,0.271574514,0.152663046,0.303793291,0.171652834,0.365442279,0.178571429,0.238147737,0.164623955,0.336967134,0.509522149,0.275816299,0.571819425,0.086551168,0.028657229,0.014234146,0.051807381,0.592849865,0.391351496,0.463299314,0.152663046,0.322112548,0.295215028,0.064120058,0.155124283,0.560876449,0.253471531,0.533505804,0.500704721,0.69933886,0.177083333,0.827611032,0.805730763,0.855140114,0.489079563,0.610568912,0.389431088,0.14975215,0.161931897,0.974285443,0.025714557,0.387279963,0.192208928,0.93109146,0.06890854,0.340810352,0.183101236,0.620693879,0.140763156,0.156584173,0.0,0.107027304,0.405522469,0.575460123,0.583668005,0.371980903,0.325958603,0.191672127,0.215710208,0.03596874,0.199599016,0.287968442,0
9,0.397175369,0.05037445,0.423710632,0.087752287,0.05033969,0.094064667,0.053532428,0.399550225,0.052197802,0.067792552,0.045682451,0.238215058,0.529486512,0.113352801,0.746606335,0.282720934,0.038902907,0.006743947,0.128363141,0.801685477,0.195837938,0.508145019,0.05033969,0.104092105,0.286945577,0.010959535,0.160449619,0.298111757,0.092888892,0.744805196,0.732997178,0.885004044,0.074561403,0.746399496,0.750922419,0.744966093,0.402742206,0.390115013,0.609884987,0.041216809,0.066503996,0.87584326,0.12415674,0.129269842,0.060114751,0.816302996,0.183697004,0.111301908,0.060312243,0.906380113,0.336126739,0.044835842,0.042621172,0.044822083,0.245262588,0.077791411,0.127443106,0.575532575,0.458053856,0.002835542,0.001475439,3.36e-05,0.114233354,0.059566075,0
